MKG_SVP_DSC_TE,Product,MVM_DRC_CD,SVM_TYP_CD,SVC_FEA_TYP_CD,PKG_CHA_TYP_CD,ASY_SVC_TYP_CD,PKG_ACQ_MTH_TYP_CD
UPS 2nd Day Air^RM - Hundredweight - Package - Third Party - Regular Pickup,Air_CWT,N,2DA,CTP,PKG,GDL,REG
UPS 2nd Day Air^RM - Hundredweight - Regular Pickup,Air_CWT,N,2DA,CWT,ALL,GDL,REG
UPS 2nd Day Air^RM - Hundredweight - Package - Regular Pickup,Air_CWT,N,2DA,CWT,PKG,GDL,REG
UPS 2nd Day Air^RM - Single Piece Residential - Freight Collect,2DA,N,2DA,FFC,ALL,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Residential Letter - Freight Collect Frt,2DA,N,2DA,FFC,LTR,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Residential Package - Freight Collect Frt,2DA,N,2DA,FFC,PKG,GDL,ALL
UPS 2nd Day Air^RM - Multi Piece Package - Freight Collect,2DA,N,2DA,MFC,PKG,GDL,ALL
UPS 2nd Day Air^RM - Multi Piece Package,2DA,N,2DA,MSH,PKG,GDL,ALL
UPS 2nd Day Air^RM - Multi Piece Package - Third Party,2DA,N,2DA,MTP,PKG,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Undeliverable Return - Letter - Prepaid,2DA,N,2DA,RTB,LTR,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Undeliverable Return - Package - Prepaid,2DA,N,2DA,RTB,PKG,GDL,ALL
UPS 2nd Day Air^RM - Hundredweight - Undeliverable Return - Package - Prepaid,Air_CWT,N,2DA,RTM,PKG,GDL,REG
UPS 2nd Day Air^RM - Single Piece Undeliverable Return - Letter - Third Party,2DA,N,2DA,RXB,LTR,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Undeliverable Return - Package - Third Party,2DA,N,2DA,RXB,PKG,GDL,ALL
UPS 2nd Day Air^RM - Hundredweight - Undeliverable Return - Package - Third Party,Air_CWT,N,2DA,RXM,PKG,GDL,REG
UPS 2nd Day Air^RM - Undeliverable Return - Letter - Freight Collect,2DA,N,2DA,RZB,LTR,GDL,ALL
UPS 2nd Day Air^RM - Undeliverable Return - Package - Freight Collect,2DA,N,2DA,RZB,PKG,GDL,ALL
UPS 2nd Day Air^RM - Hundredweight - Undeliverable Package - Freight Collect,Air_CWT,N,2DA,RZM,PKG,GDL,REG
UPS 2nd Day Air^RM - Single Piece Residential Package - Prepaid,2DA,N,2DA,SCR,ALL,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Residential Letter - Prepaid Frt,2DA,N,2DA,SCR,LTR,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Residential Package - Prepaid Frt,2DA,N,2DA,SCR,PKG,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Letter - Prepaid Frt,2DA,N,2DA,SCX,LTR,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Package - Prepaid Frt,2DA,N,2DA,SCX,PKG,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Commercial - Freight Collect,2DA,N,2DA,SFC,ALL,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Commercial Letter - Freight Collect,2DA,N,2DA,SFC,LTR,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Commercial Package - Freight Collect,2DA,N,2DA,SFC,PKG,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Residential - Freight Collect,2DA,N,2DA,SFR,ALL,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Residential Letter - Freight Collect,2DA,N,2DA,SFR,LTR,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Residential Package - Freight Collect,2DA,N,2DA,SFR,PKG,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Commercial - Prepaid,2DA,N,2DA,SPB,ALL,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Commercial Letter - Prepaid,2DA,N,2DA,SPB,LTR,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Commercial Package - Prepaid,2DA,N,2DA,SPB,PKG,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Residential Package - Prepaid,2DA,N,2DA,SPR,ALL,GDL,ALL
UPS 2nd Day Air^RM  - Single Piece Residential Letter - Prepaid,2DA,N,2DA,SPR,LTR,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Residential Package - Prepaid,2DA,N,2DA,SPR,PKG,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Letter - Prepaid,2DA,N,2DA,SPX,LTR,GDL,ALL
